word,phonetic,definition,translation,pos,collins,oxford,tag,bnc,frq,exchange,detail,audio
eyewitnesses,ˈaɪˈwɪtnɪsiz,n. a spectator who can describe what happened\nv. be present at an event and see it with one's own eyes,n. 目击者( eyewitness的复数形式 ),,,,,0,0,0:eyewitness/1:s,,
eying,,v look at,vt. 定睛地看（eye的现在分词形式）,,,,,0,0,0:eie/1:i,,
eyles,,, [人名] [英格兰人姓氏] 艾尔斯 Isles的变体,,,,,0,0,0:eyle/1:s,,
eyots,,plural of eyot\nn. A little island in a river or lake. See Ait.,(eyot 的复数) n.河(湖)中的小岛,,,,,0,0,0:eyot/1:s,,
EYRES,eə,n a shallow salt lake in south central Australia about 35 feet below sea level; the largest lake in the country and the lowest point on the continent,n. [英国历史]；巡回[主要用于短语 justices in eyre 巡回法官],,,,,40697,0,0:eyre/1:s,,
eyries,'eərɪz,n. the lofty nest of a bird of prey (such as a hawk or eagle)\nn. any habitation at a high altitude\nn. the lofty nest of a bird of prey (such as a hawk or eagle),"n. （鹰等的）巢, 高山住屋（或城堡）( eyrie的复数形式 ); 巢, 雏( eyry的复数形式 )",,,,,0,0,0:eyry/1:s,,
eys,,plural of ey\nn. An island.\nn. See Egg.\n An interj. of wonder or inquiry.,(ey 的复数) abbr. 医院；阿联酋阿提哈德航空公司,,,,,0,0,0:ey/1:s,,
F,ef,n. the 6th letter of the Roman alphabet,"[计] 故障, 假, 法拉, 字段, 标记, 特征, 分数, 频率, 函数, 功能",,,,gk,4238,0,,,
F+,,,[电] F正,,,,,0,0,,,
F-,,,[电] F负,,,,,0,0,p:f-ed,,
f-14s,,plural of f-14,"(f-14 的复数)  (Tomcat“雄猫”)美舰队防空与海上制空的支柱, 一种变后掠翼重型舰载战斗机",,,,,0,0,0:f-14/1:s,,
f-16s,,plural of f-16,"(f-16 的复数)  (FightingFalcon“战隼”)美空军现役主力轻型战斗机, “雷鸟”表演队的专用机",,,,,0,0,0:f-16/1:s,,
f-18s,,plural of f-18,"(f-18 的复数)  (Hornet“大黄蜂”)双发超音速舰载战斗/攻击机, “蓝色天使”表演队的专用机",,,,,0,0,0:f-18/1:s,,
F-ed,,past participle of F-,(F- 的过去分词) [电] F负,,,,,0,0,0:f-/1:p,,
f-holes,,plural of f-hole,(f-hole 的复数)  （小提琴等上的）f形音孔,,,,,0,0,0:f-hole/1:s,,
f-words,,plural of f-word,(f-word 的复数) n. 那个以f开头的词（此处指fuck性交）,,,,,0,0,0:f-word/1:s,,
F.,,,"[医] 华氏温度, 作成, 制成, 视野, 法国导尿管尺寸, 棱[形杆]菌属, 处方, 公式\n             氟(9号元素), 吉伯(磁动势的单位)",,,,,0,0,,,
F.A.,,,[医] 战地救护车,,,,,0,0,,,
F.D.A.,,,[医] 右额前位(胎儿),,,,,0,0,,,
FA,fɑ:,n. the syllable naming the fourth (subdominant) note of the diatonic scale in solmization,"(英国)足球协会, 战地救护车, 野战救护队, 野战炮, 野战炮兵, 美术, 急救\n[医] 脂肪酸",,,,,4453,0,s:fas,,
fa-las,,plural of fa-la,(fa-la 的复数) n. 法拉歌,,,,,0,0,0:fa-la/1:s,,
fab,fæb,s extremely pleasing,"a. 绝好的, 极妙的\n[化] 快速原子轰击离子源",,,,,22059,17732,s:fabs,,
fabbri,,, [人名] 法布里,,,,,0,0,s:fabbri/0:fabbri/1:s,,
fabians,,plural of fabian\nn. a member of the Fabian Society in Britain\na. of or relating to Fabianism\ns. using cautious slow strategy to wear down opposition; avoiding direct confrontation,"(fabian 的复数) a. 费边式的, 拖延时间的\nn. 费边社社员, 费边社支持者",,,,,0,0,0:fabian/1:s,,
fabio,,,n. 法比奥（意大利常用名）,,,,,18246,0,,,
fable,'feibl,n. a short moral story (often with animal characters),"n. 寓言, 神话, 谎言\nvi. 虚构, 作寓言",,1,,cet6 ky toefl,14705,12174,s:fables,,
fables,ˈfeiblz,n. a deliberately false or improbable account\nn. a short moral story (often with animal characters)\nn. a story about mythical or supernatural beings or events,"n. 寓言( fable的复数形式 ); 神话, 传说",,,,,0,0,0:fable/1:s,,
fabliaus,,"plural of fabliau\nn. One of the metrical tales of the Trouveres, or early poets\n   of the north of France.",(fabliau 的复数) n. (中世纪法国的)故事诗,,,,,0,0,0:fabliau/1:s,,
fabliaux,'fɑ:bli:əʊz,pl.  of Fabliau,n. （法国早期诗歌中的）故事诗（常粗俗而幽默）( fabliau的名词复数 ),,,,,18379,0,s:fabliaux/0:fabliaux/1:s,,
fabric,'fæbrik,n. artifact made by weaving or felting or knitting or crocheting natural or synthetic fibers,"n. 织物, 布, 结构, 构造, 建筑物\n[经] 组织, 建筑物, 工厂",,3,,cet4 cet6 ky toefl ielts gre,2773,3059,s:fabrics,,
fabricate,'fæbrikeit,v. make up something artificial or untrue,"vt. 制造, 建造, 装配, 伪造",,1,,cet6 ky toefl ielts gre,14422,10365,d:fabricated/i:fabricating/3:fabricates/p:fabricated,,
fabricated,,s. formed or conceived by the imagination,"a. 焊接的；组合的, 装配式的",,,,,40748,25985,0:fabricate/1:dp/p:fabricated,,
fabricates,ˈfæbrikeits,"v put together out of artificial or natural components or parts; He manufactured a popular cereal""\nv make up something artificial or untrue",v. 编造( fabricate的第三人称单数 ); 伪造; 建造; 制造,,,,,0,0,0:fabricate/1:3,,
fabricating,ˈfæbrikeitɪŋ,p. pr. & vb. n. of Fabricate,v. 编造( fabricate的现在分词 ); 伪造; 建造; 制造,,,,,0,0,0:fabricate/1:i,,
fabrication,.fæbri'keiʃәn,n. a deliberately false or improbable account\nn. writing in a fictional form\nn. the act of making something (a product) from raw materials,"n. 制造, 建造, 虚构的谎言\n[医] 虚谈症",,,,cet6,14413,11480,s:fabrications,,
fabrications,ˌfæbrɪˈkeɪʃənz,n. a deliberately false or improbable account\nn. writing in a fictional form\nn. the act of making something (a product) from raw materials,n. 制造( fabrication的复数形式 ); 组建; 构造物; 捏造,,,,,0,0,0:fabrication/1:s,,
fabricators,,plural of fabricator\nn someone who tells lies,"(fabricator 的复数) n. 制作者, 假造者, 杜撰者\n[化] 金属加工厂",,,,,0,0,0:fabricator/1:s,,
fabrics,,n artifact made by weaving or felting or knitting or crocheting natural or synthetic fibers\nn the underlying structure,n. 纤维织物（fabric的复数）,,,,,0,0,0:fabric/1:s,,
fabs,,-s form of fab\ns extremely pleasing,"(fab 的第三人称 -s形式) a. 绝好的, 极妙的\n[化] 快速原子轰击离子源",,,,,0,0,0:fab/1:s,,
fabulists,,plural of fabulist\nn. a person who tells or invents fables,"(fabulist 的复数) n. 寓言家, 说谎者",,,,,0,0,0:fabulist/1:s,,
fabulous,'fæbjulәs,s. extremely pleasing\ns. based on or told of in traditional stories; lacking factual basis or historical validity\ns. barely credible,"a. 传说的, 寓言般的, 难以置信的",,2,,ky ielts gre,7086,5757,,,
facades,fəˈsɑ:dz,n. the face or front of a building\nn. a showy misrepresentation intended to conceal something unpleasant,"n. <建>（房屋的）正面( facade的复数形式 ); 假象, 外观",,,,,0,0,0:facade/1:s,,
face,feis,n. the front of the human head from the forehead to the chin and ear to ear\nn. the general outward appearance of something\nn. the striking or working surface of an implement\nn. a part of a person that is used to refer to a person,"n. 脸, 面容, 正面, 外观\nvt. 面对, 朝, 正视, 面临\nvi. 朝, 向\n[计] 现场可改变的控制元件",,5,1,zk gk toefl ielts,282,330,i:facing/s:faces/d:faced/p:faced/3:faces,,
face book,,,n. 脸谱网,,,,,0,0,,,
face lift,feis lift,, 面部拉皮手术,,,,,0,0,,,
face off,,,"和...对抗, (冰球赛中)开球, 把...坚持到底",,,,,0,0,,,
face-lift,'feɪsl'ɪft,v perform cosmetic surgery on someone's face,"v. 翻新门面, 作整形手术\nn. 翻新",,,,,0,0,s:face-lifts,,
face-lifts,,plural of face-lift\nv perform cosmetic surgery on someone's face,"(face-lift 的复数) v. 翻新门面, 作整形手术\nn. 翻新",,,,,0,0,0:face-lift/1:s,,
face-masks,,plural of face-mask,(face-mask 的复数) 面罩；面具,,,,,0,0,0:face-mask/1:s,,
face-off,'feisɔf,n. (ice hockey) the method of starting play; a referee drops the puck between two opposing players,"n. (冰球比赛中)开球, 对立",,,,,0,0,s:face-offs,,
face-offs,,plural of face-off\nn. (ice hockey) the method of starting play; a referee drops the puck between two opposing players,"(face-off 的复数) n. (冰球比赛中)开球, 对立",,,,,0,0,0:face-off/1:s,,
face-packs,,plural of face-pack,"(face-pack 的复数) 美容洁肤膏, 面霜",,,,,0,0,0:face-pack/1:s,,
face-savers,,,n. 保全面子者( face-saver的复数形式 ),,,,,0,0,0:face-saver/1:s,,
facebook,,,n. 脸谱网,,,,,0,0,,,
faced,feist,a. having a face or facing especially of a specified kind or number; often used in combination,a. 有某种面孔或表情的,,,,,36501,37350,0:face/1:dp/p:faced/d:faced,,
facelift,,n plastic surgery to remove wrinkles and other signs of aging from your face; an incision is made near the hair line and skin is pulled back and excess tissue is excised\nn a renovation that improves the outward appearance (as of a building) but usually does not involve major changes,n. 除去面部皱纹的整容手术,,,,toefl,22918,0,s:facelifts/p:facelifted/d:facelifted,,
facelifted,,past tense of facelift\nn plastic surgery to remove wrinkles and other signs of aging from your face; an incision is made near the hair line and skin is pulled back and excess tissue is excised\nn a renovation that improves the outward appearance (as of a building) but usually does not involve major changes,(facelift 的过去时) n. 除去面部皱纹的整容手术,,,,,0,0,0:facelift/1:pd,,
facelifts,,plural of facelift\nn plastic surgery to remove wrinkles and other signs of aging from your face; an incision is made near the hair line and skin is pulled back and excess tissue is excised\nn a renovation that improves the outward appearance (as of a building) but usually does not involve major changes,(facelift 的复数) n. 除去面部皱纹的整容手术,,,,,0,0,0:facelift/1:s,,
facemasks,,plural of facemask,"(facemask 的复数)  [医]面罩, 面具",,,,,0,0,0:facemask/1:s,,
faceoff,,,"n. 开球, 对峙, 敌对, 面对面的会议",,,,,0,0,,,
faceplates,,plural of faceplate\nn. a protective covering for the front of a machine or device (as a door lock or computer component),"(faceplate 的复数) n. 面板, 花盘\n[电] 阴极射线管萤幕",,,,,0,0,0:faceplate/1:s,,
faces,,"n the front of the human head from the forehead to the chin and ear to ear\nn the feelings expressed on a person's face\nn the general outward appearance of something\nn the striking or working surface of an implement\nn a part of a person that is used to refer to a person\nn a surface forming part of the outside of an object\nn the part of an animal corresponding to the human face\nn the side upon which the use of a thing depends (usually the most prominent surface of an object)\nn a contorted facial expression\nn a specific size and style of type within a type family\nn status in the eyes of others\nn impudent aggressiveness\nn a vertical surface of a building or cliff\nv deal with (something unpleasant) head on\nv oppose, as in hostility or a competition\nv be oriented in a certain direction, often with respect to another reference point; be opposite to\nv be opposite\nv turn so as to face; turn the face in a certain direction\nv present somebody with something, usually to accuse or criticize\nv turn so as to expose the face\nv line the edge (of a garment) with a different material\nv cover the front or surface of",n. 脸面；脸色；表面（face的复数）,,,,,0,0,0:face/1:s3,,
faceted,'fæsitid,a. having facets,a. 有小面的,,,,,42788,32194,p:faceted/0:faceted/1:p,,
faceting,'fæsɪtɪŋ,p. pr. & vb. n. of Facet, 小面化,,,,,0,0,0:facete/1:i,,
facets,ˈfæsits,n. a distinct feature or element in a problem\nn. a smooth surface (as of a bone or cut gemstone),n. （宝石或首饰的）小平面( facet的复数形式 ); （事物的）面; 方面,,,,,0,0,0:facet/1:s,,
faceworkers,,plural of faceworker,"(faceworker 的复数) n. 表面, 外表；面层；【建筑学】饰面",,,,,0,0,0:faceworker/1:s,,
facial,'feiʃәl,n. cranial nerve that supplies facial muscles\nn. care for the face that usually involves cleansing and massage and the application of cosmetic creams\na. of or concerning the face\na. of or pertaining to the outside surface of an object,"n. 美颜, 脸部按摩\na. 脸的, 表面的, 脸部用的",,2,,gk,8701,5735,s:facials,,
facials,ˈfeɪʃəlz,n. cranial nerve that supplies facial muscles\nn. care for the face that usually involves cleansing and massage and the application of cosmetic creams,"n. 美容, 面部按摩( facial的复数形式 )",,,,,0,0,0:facial/1:s,,
facias,,plural of facia\nn a sheet or band of fibrous connective tissue separating or binding together muscles and organs etc,(facia 的复数) n. （英）仪表板；招牌（等于fascia）,,,,,0,0,0:facia/1:s,,
facies,'feiʃii:z,"n. The anterior part of the head; the face.\nn. The general aspect or habit of a species, or group of\n   species, esp. with reference to its adaptation to its environment.\nn. The face of a bird, or the front of the head, excluding the\n   bill.","n. (患某种疾病时特有的)面容, 外观, 表面\n[医] [颜]面, 面容",,,,,0,0,0:facy/1:s,,
facilitating,fəˈsiliteitɪŋ,v make easier\nv be of use\nv increase the likelihood of (a response),v. 促进( facilitate的现在分词 ); 使便利; 推进; 帮助（某人）进步,,,,,36644,37834,0:facilitate/1:i/i:facilitating,,
facilitators,,plural of facilitator\nn. someone who makes progress easier,(facilitator 的复数) n. 服务商；促进者,,,,,0,0,0:facilitator/1:s,,
facilites,,plural of facilite,"(facilite 的复数) 容易, 轻易；\n便利, 方便；流利, 流畅；随和；敏捷, 伶俐；才能",,,,,0,0,0:facilite/1:s,,
facilities,,n a building or place that provides a particular service or is used for a particular industry\nn skillful performance or ability without difficulty\nn a natural effortlessness\nn something designed and created to serve a particular function and to afford a particular convenience or service\nn a service that an organization or a piece of equipment offers you,"n. 工具, 设施, 设备",,,,ielts gre,0,0,0:facility/1:s,,
facility,fә'siliti,n. a building or place that provides a particular service or is used for a particular industry\nn. a natural effortlessness\nn. something designed and created to serve a particular function and to afford a particular convenience or service\nn. a service that an organization or a piece of equipment offers you,"n. 容易, 灵巧, 设备\n[计] 设施; 设备; 装备",,4,1,cet4 cet6 ky toefl ielts,1014,1297,s:facilities,,
facing,'feisiŋ,n. a lining applied to the edge of a garment for ornamentation or strengthening\nn. an ornamental coating to a building\nn. a protective covering that protects the outside of a building,"n. 贴边, 饰面\n[化] 衬片; 盖面; 铺面; 饰面; 贴面; 密封面",,,,,19423,20872,0:face/1:i/s:facings/i:facing,,
facings,ˈfeisiŋz,n. a lining applied to the edge of a garment for ornamentation or strengthening\nn. an ornamental coating to a building\nn. a protective covering that protects the outside of a building,"n. 饰面, 覆盖（如墙壁的）表面的覆饰( facing的复数形式 ); （衣服的）贴边",,,,,0,0,0:facing/1:s,,
facks,,plural of fack,(fack 的复数) vi. 说话；讲真话,,,,,0,0,0:fack/1:s,,
facs,,,abbr. 美国外科医师学会会员（Fellow of the American College of Surgeons）；亚洲化学学会联合会（Federation of Asian Chemical Societies）,,,,,0,0,0:fac/1:s,,
facsimiles,fækˈsɪməli:z,pl.  of Facsimile,"n. （文字、图画等的）副本, 传真( facsimile的名词复数 )",,,,,0,0,0:facsimile/1:s,,
fact,fækt,n. a piece of information about circumstances that exist or events that have occurred\nn. a statement or assertion of verified information about something that is the case or has happened\nn. an event known to have happened or something known to have existed\nn. a concept whose truth can be proved,"n. 事实, 真实性, 真相, 细节, 论据",,5,1,zk gk cet4 ky,201,235,s:facts,,
fact-finders,,plural of fact-finder,"(fact-finder 的复数) n.实情调查者,(案件等的)检察员",,,,,0,0,0:fact-finder/1:s,,
fact-sheets,,plural of fact-sheet,(fact-sheet 的复数) 情况说明书,,,,,0,0,0:fact-sheet/1:s,,
factions,'fækʃnz,n. a clique (often secret) that seeks power usually through intrigue\nn. a dissenting clique,"n. 组织中的小派别, 派系( faction的复数形式 )",,,,,0,0,0:faction/1:s,,
factoids,,plural of factoid\nn. something resembling a fact; unverified (often invented) information that is given credibility because it appeared in print\nn. a brief (usually one sentence and usually trivial) news item,(factoid 的复数) n.(仅因出现在出版物上而被信以为真的) 仿真陈述,,,,,0,0,0:factoid/1:s,,
factor,'fæktә,n. anything that contributes causally to a result\nn. any of the numbers (or symbols) that form a product when multiplied together\nn. an independent variable in statistics\nv. resolve into factors,"n. 因素, 因数, 系数, 基因, 代理人\n[计] 因式",,4,1,cet4 ky toefl ielts,666,729,s:factors/i:factoring/p:factored/3:factors/d:factored,,
factorials,,plural of factorial\nn. the product of all the integers up to and including a given integer\na. of or relating to factorials,"(factorial 的复数) a. 因子的, 阶乘的, 代理商的\nn. 阶乘\n[计] 阶乘",,,,,0,0,0:factorial/1:s,,
factories,,n a plant consisting of one or more buildings with facilities for manufacturing,"n. 工厂, 车厂（factory复数形式）",,,,ielts,0,0,0:factory/1:s,,
factoring,'fæktәriŋ,n (mathematics) the resolution of an entity into factors such that when multiplied together they give the original entity\nv resolve into factors\nv be a contributing factor\nv consider as relevant when making a decision,"[计] 因子分解, 提取公因子, 配置, 排列\n[经] 贷款保收, 应收帐款让售",,,,,0,42971,0:factore/1:i/i:factoring,,
factorising,,-ing form of factorise\nv resolve (a polynomial) into factors,(factorise 的现在分词) vt. 将…分解成因子,,,,,0,0,0:factorise/1:i,,
factorizing,'fæktəraɪz,p. pr. & vb. n. of Factorize,vt. 因式分解；把复杂计算分解为基本运算,,,,,0,0,1:i/0:factorize,,
factors,,n anything that contributes causally to a result\nn an abstract part of something\nn one of two or more integers that can be exactly divided into another integer\nn a businessman who buys or sells for another in exchange for a commission\nn any of the numbers (or symbols) that form a product when multiplied together\nn an independent variable in statistics\nn (genetics) a segment of DNA that is involved in producing a polypeptide chain; it can include regions preceding and following the coding DNA as well as introns between the exons; it is considered a unit of heredity\nv resolve into factors\nv be a contributing factor\nv consider as relevant when making a decision,n. 因素（factor的复数）,,,,ielts,0,0,1:s3/0:factor,,
factory,'fæktәri,n. a plant consisting of one or more buildings with facilities for manufacturing,"n. 工厂, 产生地, 代理店\n[经] 工厂, 代理店, 商行在国外的代理处",,4,1,zk gk ielts,1505,2132,s:factories,,
factory-owners,,plural of factory-owner,(factory-owner 的复数) [工经] 厂主,,,,,0,0,0:factory-owner/1:s,,
factos,,plural of facto\nadv. In fact; by the act or fact.,"(facto 的复数) [法] 实际上, 事实上",,,,,0,0,0:facto/1:s,,
factotums,fækˈtəʊtəmz,pl.  of Factotum,"n. 杂工, 打杂的人( factotum的名词复数 )",,,,,0,0,0:factotum/1:s,,
facts,,n a piece of information about circumstances that exist or events that have occurred\nn a statement or assertion of verified information about something that is the case or has happened\nn an event known to have happened or something known to have existed\nn a concept whose truth can be proved,abbr. 设备管理控制与时间调度程序；Facilities Administration Control and Time Schedule,,,,,0,0,0:fact/1:s,,
factsheets,,plural of factsheet,(factsheet 的复数) n. （电视节目中插入的）字幕新闻,,,,,0,0,0:factsheet/1:s,,
facturing,,"-ing form of facture\nn. The act or manner of making or doing anything; -- now used\n   of a literary, musical, or pictorial production.\nn. An invoice or bill of parcels.","(facture 的现在分词) n. 制作, 制作法",,,,,0,0,0:facture/1:i,,
faculties,ˈfækəltiz,pl.  of Faculty,n. 能力( faculty的名词复数 ); 全体教职员; 技巧; 院,,,,,0,0,0:faculty/1:s,,
fad,fæd,n. an interest followed with exaggerated zeal,n. 时尚\n[化] 黄素腺嘌呤二核苷酸,,1,,gre,15200,11194,s:fads,,
faddists,,plural of faddist\nn. a person who subscribes to a variety of fads,(faddist 的复数) n. 趋于时尚者,,,,,0,0,0:faddist/1:s,,
fade,feid,"n. gradually ceasing to be visible\nv. become less clearly visible or distinguishable; disappear gradually or seemingly\nv. lose freshness, vigor, or vitality","vi. 褪色, 消失, 凋谢\nvt. 使褪色\nn. 淡入, 淡出\na. 平淡的",,3,,gk cet4 cet6 ky toefl ielts gre,3506,2882,i:fading/d:faded/p:faded/3:fades/s:fades,,
faded,'feidid,"v become less clearly visible or distinguishable; disappear gradually or seemingly\nv lose freshness, vigor, or vitality\nv disappear gradually\nv become feeble\ns having lost freshness or brilliance of color\ns reduced in strength","a. 已褪色的, 已凋谢的",,,,,9059,8401,0:fade/1:dp/d:faded/p:faded,,
faders,,plural of fader\nn. Father.,"(fader 的复数) n. 音量控制器, 增益调节器, 混频电位器\n[电] 化音器",,,,,0,0,0:fader/1:s,,
fades,feidz,"n a golf shot that curves to the right for a right-handed golfer\nn gradually ceasing to be visible\nv become less clearly visible or distinguishable; disappear gradually or seemingly\nv lose freshness, vigor, or vitality\nv disappear gradually\nv become feeble",v. （使）褪去( fade的第三人称单数 ); 逐渐消逝; 逐渐消失; （运动员、运动队、演员等）走下坡路,,,,,0,0,0:fade/1:3s,,
fading,'feidiŋ,"n weakening in force or intensity\nv become less clearly visible or distinguishable; disappear gradually or seemingly\nv lose freshness, vigor, or vitality\nv disappear gradually\nv become feeble",[计] 衰落\n[化] 褪色,,,,,18859,14279,0:fade/1:i/i:fading,,
fados,,plural of fado\nn. a sad Portuguese folksong,(fado 的复数) n.法多(葡萄牙民谣),,,,,0,0,0:fado/1:s,,
fads,fædz,n. an interest followed with exaggerated zeal,"n. 一时的流行, 一时的风尚( fad的复数形式 )",,,,,0,0,0:fad/1:s,,
fae,,,abbr. fetal alcohol effect 胎儿酒精效应; figural after-effect 形象化后效应; fine alignment equipment 微补偿仪器; forward air express 转寄运包裹,,,,,0,0,s:fae/0:fae/1:s,,
faeces,'fi:si:z,n solid excretory product evacuated from the bowels,n. 粪便,,1,,,0,0,0:faece/1:s,,
faed,,, [人名] 费德,,,,,0,0,r:faeder/p:faed/0:faed/1:p,,
faeder,,comparative of faed,(faed 的比较级)  [人名] 费德,,,,,0,0,0:faed/1:r,,
faeries,,"plural of faery\nn a small being, human in form, playful and having magical powers\nn the enchanted realm of fairies","(faery 的复数) n. 仙子, 仙境\na. 仙女的, 幻想的",,,,,0,0,0:faery/1:s,,
Faeroes,'feәrәuz,n a self-governing colony that is a possession of Denmark in the Faroe Islands\nn a group of 21 volcanic islands in the North Atlantic between Iceland and the Shetland Islands,法罗群岛(大西洋北部丹麦的群岛),,,,,0,0,0:faeroe/1:s,,
faffing,,-ing form of faff,"(faff 的现在分词) v. 无事奔忙, 小题大做",,,,,0,0,0:faff/1:i,,
fag-ends,,plural of fag-end,(fag-end 的复数) [化] 废渣,,,,,0,0,0:fag-end/1:s,,
fagging,'fæ^iŋ,"v act as a servant for older boys, in British public schools\nv work hard\nv exhaust or get tired through overuse or great strain or stress","绝热套, 保温套",,,,,0,0,0:fag/1:i,,
faggots,ˈfæɡəts,n. offensive term for an openly homosexual man\nn. a bundle of sticks and branches bound together\nv. ornament or join (fabric) by faggot stitch,"n. 柴把, 束薪( faggot的复数形式 )",,,,,0,0,0:faggot/1:s,,
fagins,,plural of fagin\nn. a villainous Jew in a novel by Charles Dickens,"(fagin 的复数) n. 费金(狄更斯小说中的人物), (教唆儿童犯罪的)教唆犯\n[医] 山毛榉素",,,,,0,0,0:fagin/1:s,,
fahrenheit,'færәnhait,n. German physicist who invented the mercury thermometer and developed the scale of temperature that bears his name (1686-1736)\na. of or relating to a temperature scale proposed by the inventor of the mercury thermometer,a. 华氏温度计的\nn. 华氏温度计,,,,cet4 cet6 toefl ielts,28229,0,,,
fai,,,abbr. 国际航空协会（Federation Aeronautique Internationale）,,,,,0,0,s:fai/0:fai/1:s,,
fail,feil,"v. fail to do something; leave something undone\nv. be unsuccessful\nv. disappoint, prove undependable to; abandon, forsake\nv. stop operating or functioning","vi. 失败, 缺乏, 中断, 衰退, 失灵\nvt. 忘记, 使...失望, 缺乏, 不及格\nn. 不及格",,5,1,zk gk,616,808,d:failed/p:failed/i:failing/3:fails,,
fail(ure),,,[化] 事故; 失效,,,,,0,0,,,
fail-safes,,plural of fail-safe\nn. a mechanism capable of returning to a safe state in case there is a failure or malfunction\ns. guaranteed not to fail\ns. eliminating danger by compensating automatically for a failure or malfunction,(fail-safe 的复数) n. 自动防故障装置\na. 自动防故障装置的\n[计] 故障保险,,,,,0,0,0:fail-safe/1:s,,
failed,,"v fail to do something; leave something undone\nv be unsuccessful\nv disappoint, prove undependable to; abandon, forsake\nv stop operating or functioning\nv be unable\nv judge unacceptable\nv fail to get a passing grade\nv fall short in what is expected\nv become bankrupt or insolvent; fail financially and close\nv prove insufficient\nv get worse",a. 已失败的\n[计] 失败的,,,,,9551,5839,0:fail/1:dp/p:failed/d:failed,,
failing,'feiliŋ,n. a flaw or weak point\nn. failure to reach a minimum required performance\ns. below acceptable in performance,"n. 失败, 缺点\nprep. 如果没有...\na. 失败的",,1,,,13711,13145,0:fail/1:i/s:failings/i:failing,,
failings,ˈfeɪlɪŋz,n. a flaw or weak point\nn. failure to reach a minimum required performance\nv. fail to do something; leave something undone,"n. 弱点, 缺陷, 短处( failing的复数形式 )",,,,,0,0,0:failing/1:s,,
fails,feilz,"v fail to do something; leave something undone\nv be unsuccessful\nv disappoint, prove undependable to; abandon, forsake\nv stop operating or functioning\nv be unable\nv judge unacceptable\nv fail to get a passing grade\nv fall short in what is expected\nv become bankrupt or insolvent; fail financially and close\nv prove insufficient\nv get worse",v. 在…中失败( fail的第三人称单数 ); 衰退; 衰弱; 破产,,,,,0,0,0:fail/1:3,,
failsafes,,plural of failsafe,(failsafe 的复数)  破损安全,,,,,0,0,0:failsafe/1:s,,
failure,'feiljә,n. an act that fails\nn. an event that does not accomplish its intended purpose\nn. lack of success\nn. a person with a record of failing; someone who loses consistently,"n. 失败, 失败者, 不足, 缺乏, 破产\n[计] 故障; 失效",,4,1,gk cet4 ky ielts,1147,1360,s:failures,,
failures,,n an act that fails\nn an event that does not accomplish its intended purpose\nn lack of success\nn a person with a record of failing; someone who loses consistently\nn an unexpected omission\nn inability to discharge all your debts as they come due\nn loss of ability to function normally,n. 失败（failure的复数）,,,,,0,0,0:failure/1:s,,
faint,feint,"n. a spontaneous loss of consciousness caused by insufficient blood to the brain\nv. pass out from weakness, physical or emotional distress due to a loss of blood supply to the brain\ns. deficient in magnitude; barely perceptible; lacking clarity or brightness or loudness etc\ns. lacking strength or vigor","n. 昏厥, 昏倒\na. 模糊的, 微弱的, 无力的\nvi. 昏倒, 变得微弱",,2,1,cet4 cet6 ky toefl ielts,3694,4117,t:faintest/p:fainted/r:fainter/i:fainting/d:fainted/3:faints/s:faints,,
faint-hearts,,plural of faint-heart,"(faint-heart 的复数) n. 懦夫, 怕事人；无决断力的人\na. 懦弱的；无决断的",,,,,0,0,0:faint-heart/1:s,,
fainted,,"v pass out from weakness, physical or emotional distress due to a loss of blood supply to the brain","a. ??人事的, 昏厥的",,,,,0,0,0:faint/1:pd/p:fainted,,
fainter,feintə,s. deficient in magnitude; barely perceptible; lacking clarity or brightness or loudness etc\ns. lacking clarity or distinctness\ns. lacking strength or vigor,a. 微弱的( faint的比较级 ); （体力）无力的; 易失去知觉的; （动作等）无力的,,,,,0,0,0:faint/1:r,,
faintest,'feintist,s deficient in magnitude; barely perceptible; lacking clarity or brightness or loudness etc\ns lacking clarity or distinctness\ns lacking strength or vigor\ns weak and likely to lose consciousness\ns indistinctly understood or felt or perceived\ns lacking conviction or boldness or courage,"a. 一点也不的（用于否定句, 加强语气）；极小的",,,,,0,0,0:faint/1:t,,
fainthearted,'feint'hɑ:tid,s lacking conviction or boldness or courage,"a. 懦弱的, 无精神的, 胆小的",,,,gre,0,0,p:fainthearted/0:fainthearted/1:p,,
fainthearts,,plural of faintheart,"(faintheart 的复数) n. 懦夫, 怕事人\na. 懦夫的, 胆怯的",,,,,0,0,0:faintheart/1:s,,
fainting,'feintiŋ,"v pass out from weakness, physical or emotional distress due to a loss of blood supply to the brain","n. 昏晕, 不省人事",,,,,46264,34752,0:faint/1:i/i:fainting/s:faintings,,
faintings,,"plural of fainting\nv pass out from weakness, physical or emotional distress due to a loss of blood supply to the brain","(fainting 的复数) n. 昏晕, 不省人事",,,,,0,0,0:fainting/1:s,,
faints,feints,"n a spontaneous loss of consciousness caused by insufficient blood to the brain\nv pass out from weakness, physical or emotional distress due to a loss of blood supply to the brain",pl. 劣质酒精,,,,,0,0,0:faint/1:3s,,
